timestamp,cpu_percent,memory_mb,memory_percent
1764535911,0.35,1.066,13.75
1764535914,1.50,1.461,18.85
1764535917,27.67,5.297,68.34
1764535920,59.83,13.1,169.01
1764535922,140.75,69.74,899.75
1764535925,111.69,134,1728.81
1764535928,142.33,147.9,1908.14
1764535931,138.45,167.2,2157.14
1764535933,137.91,176.5,2277.13
1764535937,134.68,183.6,2368.73
1764535940,137.91,200.6,2588.05
1764535942,145.13,204.7,2640.95
1764535945,142.52,216.1,2788.03
1764535948,133.98,214,2760.93
1764535951,135.46,187.8,2422.91
1764535953,133.10,178.2,2299.06
1764535956,131.60,158.5,2044.90
1764535959,130.02,120,1548.19
1764535962,99.99,108.6,1401.11
1764535964,100.09,108.8,1403.69
1764535967,99.79,109.3,1410.14
1764535970,99.99,109.3,1410.14
1764535973,100.09,109.5,1412.72
1764535975,99.99,109.5,1412.72
1764535978,100.09,110,1419.17
1764535981,99.99,110.3,1423.04
1764535984,100.09,110.5,1425.62
1764535987,99.99,110.8,1429.49
1764535990,100.09,111,1432.07
1764535992,99.89,111,1432.07
